age,balance,day,duration,campaign,pdays,previous,y
0.8088235294,0.3422772849,3,0.1241310824,-3.04E-17,-7.45E-33,0,no
1.029411765,0.5437510906,1.666666667,0.3574975174,-5.65E-16,1.949541284,0.8,no
1.176470588,0.3129488195,2.5,0.2995696789,-5.38E-16,1.89793578,0.2,no
0.8088235294,0.3214050818,0.3333333333,0.3227408143,0.306122449,-7.50E-17,0,no
2.941176471,0.2223460088,0.6666666667,0.367428004,-9.00E-17,-2.20E-32,0,no
1.176470588,0.272479564,3.666666667,0.2267461106,0.1020408163,1.014908257,0.6,no
1.25,0.2429497591,2.166666667,0.5577623304,-6.01E-16,1.89793578,0.4,no
1.470588235,0.2322116482,0.8333333333,0.2432969215,0.1020408163,-2.50E-17,0,no
1.617647059,0.2371780245,2.166666667,0.08771929825,0.1020408163,-2.50E-17,0,no
1.764705882,0.2164400478,2.666666667,0.5114200596,-3.33E-16,0.8486238532,0.4,no
1.470588235,0.851465081,3.166666667,0.4452168156,-1.09E-16,-2.67E-32,0,no
1.764705882,0.2400638918,2.666666667,0.1804038398,0.1020408163,-2.50E-17,0,no
1.25,0.2967745399,2,0.5362462761,0.1020408163,-2.50E-17,0,no
0.07352941176,0.2560368317,4.833333333,0.4253558424,-1.04E-16,-2.55E-32,0,yes
0.8823529412,0.2465067583,4.666666667,0.1406818934,-3.74E-16,1.387614679,0.2,no
1.544117647,0.2353659682,4.666666667,0.3061900033,0.1020408163,-2.50E-17,0,no
2.720588235,0.4956980443,4.333333333,0.3889440583,0.4081632653,-1.00E-16,0,no
1.323529412,0.3778472772,3.166666667,0.1820589209,-2.59E-16,0.877293578,0.4,no
0.4411764706,0.2075139931,3.666666667,0.4071499503,-9.97E-17,-2.44E-32,0,no
0.8823529412,0.2312049503,1,0.2383316783,-2.73E-16,0.877293578,0.2,no
1.397058824,0.2223460088,2.833333333,0.1522674611,0.1020408163,-2.50E-17,0,no
1.691176471,0.2234198199,3,0.2250910295,0.2040816327,-5.00E-17,0,no
1.838235294,0.2294600072,1.833333333,0.1737835154,0.1020408163,-2.50E-17,0,no
1.838235294,0.2285875357,1,0.200264813,0.1020408163,-2.50E-17,0,no
0.5147058824,0.2587884726,4.833333333,0.2730883813,0.2040816327,-5.00E-17,0,no
1.617647059,0.6171729239,3.166666667,0.2946044356,0.1020408163,-2.50E-17,0,no
2.647058824,0.2644259809,0.6666666667,0.4021847071,-9.85E-17,-2.41E-32,0,no
3.529411765,0.2690567912,2.666666667,0.1903343264,-1.95E-16,0.6077981651,0.4,no
2.720588235,0.2749627522,4.833333333,0.2399867594,0.1020408163,-2.50E-17,0,no
2.5,0.2293928941,3.333333333,0.1158556769,0.1020408163,-2.50E-17,0,no
3.602941176,0.5034831747,2.166666667,1.477987421,0.1020408163,-2.50E-17,0,yes
0.8823529412,0.2338223648,4.333333333,0.1274412446,0.2040816327,-5.00E-17,0,no
2.941176471,0.2251647629,3.333333333,0.05958291956,-1.46E-17,-3.57E-33,0,no
0.9558823529,0.3925450665,4.166666667,1.578947368,0.5102040816,-1.25E-16,0,yes
2.205882353,0.3052308023,2,0.5792783846,0.2040816327,-5.00E-17,0,yes
1.691176471,0.3438880015,2.166666667,0.2416418405,-5.92E-17,-1.45E-32,0,no
4.338235294,0.23771493,3.5,0.1539225422,-3.77E-17,-9.23E-33,0,yes
0.9558823529,0.3625454692,2.166666667,0.2118503807,-5.19E-17,-1.27E-32,0,yes
1.029411765,0.4864364237,0.8333333333,1.259516716,-7.90E-16,1.966743119,0.4,yes
0.2941176471,0.2467080979,4.833333333,0.01986097319,1.734693878,-4.25E-16,0,no
1.397058824,1.025758044,2.666666667,1.001324065,0.1020408163,0.5848623853,0.6,no
1.25,0.2594596046,1.666666667,0.1688182721,0.1020408163,-2.50E-17,0,no
2.426470588,0.2973114455,2,0.5974842767,-1.46E-16,-3.58E-32,0,no
0.9558823529,0.2489228333,2,0.3326713009,0.2040816327,-5.00E-17,0,no
0.9558823529,0.3702634864,3.333333333,0.01158556769,0.306122449,-7.50E-17,0,no
1.102941176,0.2808687132,1,0.167163191,0.1020408163,-2.50E-17,0,no
2.647058824,0.2320774218,0.1666666667,0.09102946044,0.2040816327,0.03440366972,0.4,no
0.5147058824,0.2223460088,3.333333333,0.6967891427,-1.71E-16,-4.18E-32,0,no
0.9558823529,0.1653669078,0.5,0.3310162198,-8.11E-17,-1.99E-32,0,no
3.088235294,0.5330129797,4.333333333,0.2929493545,-2.02E-16,0.5332568807,0.2,yes
1.911764706,0.2789895438,0.6666666667,1.678252234,0.2040816327,-5.00E-17,0,yes
1.323529412,0.2376478168,3.166666667,2.873220788,0.1020408163,-2.50E-17,0,no
1.397058824,0.2257016684,4.666666667,0.1555776233,0.1020408163,-2.50E-17,0,no
1.102941176,0.325633213,2.333333333,0.7232704403,-2.57E-16,0.3268348624,0.2,yes
2.5,0.3720755426,2.166666667,0.4435617345,0.2040816327,-5.00E-17,0,no
2.132352941,0.4279808325,2.333333333,0.2565375703,0.1020408163,-2.50E-17,0,no
2.794117647,0.2278492906,0.5,0.2250910295,-5.51E-17,-1.35E-32,0,no
1.029411765,0.3669749399,2.666666667,0.4816285998,-1.18E-16,-2.89E-32,0,no
1.25,0.2291244413,4.166666667,0.5130751407,-1.26E-16,-3.08E-32,0,no
2.573529412,0.2749627522,2.333333333,0.9516716319,-2.33E-16,-5.71E-32,0,no
1.617647059,0.1877156011,1.166666667,0.9102946044,0.2040816327,-5.00E-17,0,no
3.235294118,0.2501979839,1,0.5279708706,-1.29E-16,-3.17E-32,0,no
2.132352941,0.6174413766,2,0.3690830851,0.1020408163,-2.50E-17,0,no
2.132352941,0.3132843854,0.5,0.2151605429,0.1020408163,-2.50E-17,0,no
2.720588235,1.354746916,1,0.3624627607,-8.88E-17,-2.17E-32,0,no
2.352941176,0.235969987,1.166666667,0.2151605429,-2.93E-16,0.9805045872,1,no
0.8823529412,0.2450302681,4.5,0.2499172459,-6.12E-17,-1.50E-32,0,no
0.7352941176,0.2521442665,3.333333333,0.2085402185,0.306122449,-7.50E-17,0,no
1.617647059,0.2223460088,1,1.036080768,0.2040816327,-5.00E-17,0,no
0.9558823529,0.2465067583,3,0.2648129758,0.1020408163,-2.50E-17,0,no
1.323529412,0.2223460088,2.5,0.4369414101,0.1020408163,1.049311927,0.6,yes
1.691176471,0.2224802352,0.6666666667,0.6223104932,-1.52E-16,-3.73E-32,0,no
0.8823529412,0.6416692393,1.333333333,0.2482621648,0.1020408163,-2.50E-17,0,no
1.617647059,0.2499966443,0.3333333333,0.2482621648,0.4081632653,-1.00E-16,0,no
2.720588235,0.2454329472,2.333333333,0.3591525985,-8.80E-17,-2.15E-32,0,no
2.573529412,0.438584717,2.166666667,0.1042701092,0.1020408163,-2.50E-17,0,no
1.617647059,0.2340237044,2.166666667,0.6007944389,0.1020408163,1.708715596,0.2,no
1.544117647,0.2620099059,2.166666667,0.1373717312,0.5102040816,-1.25E-16,0,no
2.279411765,0.2483859277,0.6666666667,1.153591526,-2.83E-16,-6.92E-32,0,no
1.544117647,0.2370437981,2.666666667,0.3310162198,0.1020408163,1.129587156,0.2,no
0.5882352941,0.2526140589,2.5,1.072492552,-2.63E-16,-6.43E-32,0,yes
3.014705882,0.2226815747,4.166666667,0.09764978484,0.1020408163,-2.50E-17,0,no
0.6617647059,0.234225044,0.8333333333,0.2416418405,-5.92E-17,-1.45E-32,0,no
2.426470588,0.2664393767,1,0.652101953,0.1020408163,2.643348624,0.4,yes
1.323529412,0.3105998577,4.833333333,0.3641178418,-8.92E-17,-2.18E-32,0,yes
2.352941176,0.3207339499,1,0.6653426018,0.1020408163,-2.50E-17,0,no
1.617647059,0.2813385055,1,0.09268454154,0.306122449,-7.50E-17,0,no
1.176470588,0.2420101744,4.833333333,0.8556769282,0.1020408163,-2.50E-17,0,no
1.397058824,0.2508020027,2.666666667,0.4551473022,-1.11E-16,-2.73E-32,0,no
1.102941176,0.3452302654,3.166666667,0.3293611387,0.1020408163,-2.50E-17,0,no
1.470588235,0.2297955732,2.833333333,0.3260509765,0.1020408163,-2.50E-17,0,no
1.102941176,0.2528825116,3.166666667,0.6090698444,0.2040816327,-5.00E-17,0,no
0.5882352941,0.2092589361,2.833333333,0.6405163853,-1.57E-16,-3.84E-32,0,yes
0.9558823529,0.4650273151,2.166666667,0.2664680569,0.1020408163,-2.50E-17,0,no
2.794117647,1.168172239,1.666666667,0.3757034095,0.4081632653,-1.00E-16,0,no
1.617647059,0.3275123824,-8.02E-17,0.4750082754,0.1020408163,-2.50E-17,0,no
1.617647059,0.5865021946,2.166666667,0.2399867594,0.1020408163,-2.50E-17,0,no
0.8088235294,0.2398625522,3,0.3790135717,-2.87E-16,0.7912844037,4,no
1.25,0.4131488168,1.833333333,0.7762330354,-4.47E-16,1.049311927,0.2,no
0.8823529412,0.2495939652,0.5,1.211519364,-2.97E-16,-7.27E-32,0,yes
1.25,0.2223460088,0.8333333333,0.551142006,-1.35E-16,-3.31E-32,0,no
1.397058824,0.255432813,1.666666667,0.9086395233,-7.39E-16,2.110091743,1.4,no
2.205882353,0.6247567147,3.333333333,0.5643826548,0.1020408163,-2.50E-17,0,no
2.794117647,0.4758325392,2,0.100959947,0.1020408163,-2.50E-17,0,no
1.102941176,0.257513322,2,0.008275405495,-2.03E-18,-4.96E-34,0,no
0.9558823529,0.2608689816,2.166666667,0.4220456802,0.1020408163,0.8371559633,0.6,no
1.323529412,0.2510033422,1.333333333,0.6074147633,0.2040816327,-5.00E-17,0,no
1.029411765,0.2547616811,0.3333333333,0.4568023833,0.1020408163,-2.50E-17,0,no
2.720588235,0.4499268466,3.333333333,0.3955643827,-9.69E-17,-2.37E-32,0,yes
0.5882352941,0.2223460088,3.666666667,0.7133399537,0.2040816327,-5.00E-17,0,no
0.1470588235,0.3893236332,4.833333333,0.4203905991,0.5102040816,0.9747706422,0.6,yes
2.867647059,0.3241567227,4.666666667,0.004965243297,0.4081632653,-1.00E-16,0,no
0.9558823529,0.2369095717,2.333333333,0.518040384,0.4081632653,-1.00E-16,0,no
1.029411765,0.223822499,4.833333333,0.1191658391,0.1020408163,1.19266055,0.2,no
0.4411764706,0.2445604757,4.166666667,0.2747434624,0.306122449,-7.50E-17,0,yes
0.4411764706,0.2562381713,2.666666667,0.6322409798,0.1020408163,-2.50E-17,0,yes
0.8088235294,0.3436866619,2.833333333,0.1307514068,0.1020408163,-2.50E-17,0,no
0.2205882353,0.4982483457,3,0.100959947,-2.47E-17,-6.06E-33,0,no
1.470588235,0.2258358948,2,0.1075802714,-2.63E-17,-6.45E-33,0,no
1.985294118,0.2240238386,2.666666667,0.9268454154,0.1020408163,-2.50E-17,0,no
0.8823529412,0.3491899438,3.333333333,0.9665673618,-2.37E-16,-5.80E-32,0,no
1.911764706,0.2504664367,2.833333333,0.1804038398,0.306122449,-7.50E-17,0,no
0.9558823529,0.4030818378,3.333333333,0.01986097319,-4.86E-18,-1.19E-33,0,no
1.25,0.2068428612,2.333333333,1.282687852,0.1020408163,-2.50E-17,0,no
2.352941176,0.2186547832,1.666666667,0.4584574644,0.1020408163,1.530963303,1.2,no
1.102941176,0.253352304,3.333333333,3.099966898,0.2040816327,-5.00E-17,0,yes
0.3676470588,0.2303324788,2.333333333,0.07778881165,-1.91E-17,-4.67E-33,0,no
1.911764706,0.2616743399,4.5,0.04634227077,0.2040816327,-5.00E-17,0,no
0.9558823529,0.2376478168,0.6666666667,0.284673949,-4.76E-16,1.657110092,0.6,no
4.264705882,0.5350263755,2.166666667,0.2598477325,-6.36E-17,-1.56E-32,0,yes
1.617647059,0.2336210252,2.833333333,0.3028798411,0.2040816327,-5.00E-17,0,no
1.323529412,0.2223460088,4.166666667,0.03310162198,-8.11E-18,-1.99E-33,0,no
