A,B,C,D,E,F,G,H,Gender
0.2211163998,0.1674167027,0.05685850281,0.05881010595,0.02594947025,0.01264873676,0.05713372403,5.713372403,M
0.3348334055,0.2653396798,0.08528775422,0.1765607172,0.06689486553,0.03690301548,0.1714011721,7.345764518,F
0.2779749026,0.230592817,0.0789701428,0.1345721271,0.05620211899,0.02973105134,0.1265103889,8.161960575,M
0.208481177,0.1610990913,0.05054089139,0.05346373268,0.02334148329,0.01030154849,0.04489078316,5.713372403,I
0.2684984855,0.1895283427,0.06001730852,0.09167074165,0.03677261614,0.02021189894,0.0979435269,6.52956846,I
0.3348334055,0.2621808741,0.09476417135,0.2027709861,0.06180929095,0.03690301548,0.269344699,16.32392115,F
0.3443098226,0.2684984855,0.0789701428,0.2002933985,0.07667481663,0.03898940505,0.212210975,13.05913692,F
0.3000865426,0.2337516227,0.0789701428,0.1328769356,0.05646291769,0.0293398533,0.1346723495,7.345764518,M
0.3474686283,0.2779749026,0.09476417135,0.2332844336,0.08202118989,0.0393806031,0.2611827384,15.50772509,F
0.3316745997,0.2400692341,0.08844655993,0.1581744091,0.05059494703,0.03846780766,0.1714011721,11.42674481,F
0.2716572912,0.2211163998,0.06949372566,0.1058842706,0.04368378158,0.02112469438,0.1101864678,8.161960575,M
0.3095629598,0.2400692341,0.08528775422,0.1412224939,0.05672371638,0.02477587612,0.1550772509,8.978156633,M
0.3379922112,0.2558632627,0.09160536564,0.1785167074,0.07106764466,0.04459657702,0.1673201918,8.161960575,F
0.2969277369,0.2242752055,0.06317611424,0.12400978,0.04368378158,0.02099429503,0.1509962706,8.161960575,F
0.3158805712,0.2527044569,0.08212894851,0.1733007335,0.06728606357,0.03468622657,0.1958870538,9.79435269,M
0.2242752055,0.1768931199,0.0536996971,0.07576202119,0.02477587612,0.01030154849,0.09386254662,5.713372403,I
0.2779749026,0.2147987884,0.06317611424,0.1176202119,0.04903015485,0.02268948655,0.1061054875,8.161960575,F
0.230592817,0.186369537,0.05054089139,0.06663406683,0.02529747351,0.01121434393,0.08161960575,5.713372403,M
0.2842925141,0.2021635656,0.06317611424,0.09936430318,0.04446617767,0.0195599022,0.09386254662,7.345764518,M
0.2242752055,0.1768931199,0.06001730852,0.06402607987,0.02490627547,0.01616951915,0.06121470432,8.978156633,M
0.2400692341,0.1737343141,0.06317611424,0.05881010595,0.02086389568,0.0127791361,0.06937666489,8.161960575,I
0.3569450454,0.2779749026,0.09792297707,0.2450203749,0.1114914425,0.05581092095,0.2203729355,9.79435269,F
0.3474686283,0.2621808741,0.08528775422,0.1991198044,0.08293398533,0.05476772616,0.1632392115,7.345764518,F
0.3885331026,0.3032453483,0.1042405885,0.3029176854,0.1337897311,0.0785004075,0.2489397975,8.161960575,F
0.3537862397,0.2779749026,0.08844655993,0.2421515892,0.09975550122,0.04903015485,0.2448588173,8.978156633,F
0.3664214626,0.2842925141,0.1168758113,0.2596251019,0.1028850856,0.07093724531,0.2326158764,8.978156633,F
0.372739074,0.2811337084,0.08844655993,0.242803586,0.09284433578,0.06102689487,0.2285348961,9.79435269,M
0.3822154911,0.3000865426,0.1137170056,0.2442379788,0.1027546862,0.05711491443,0.240777837,12.24294086,M
0.3632626569,0.2684984855,0.08844655993,0.225199674,0.1024938875,0.05920130399,0.1632392115,8.978156633,M
0.3664214626,0.2969277369,0.1042405885,0.2601466993,0.1026242869,0.06311328443,0.269344699,8.161960575,M
0.4295975768,0.3537862397,0.1042405885,0.4274490628,0.1579136104,0.07315403423,0.3754501865,12.24294086,F
0.4201211597,0.3316745997,0.1042405885,0.3489486553,0.1438304808,0.09323553382,0.2856686201,14.69152904,M
0.4295975768,0.3474686283,0.1105581999,0.4689160554,0.2125509372,0.1023634882,0.3713692062,15.50772509,F
0.4453916054,0.3474686283,0.1263522285,0.4458353708,0.1650855746,0.1073186634,0.3999360682,10.61054875,F
0.2937689312,0.2242752055,0.06633491995,0.1250529747,0.05920130399,0.0323390383,0.1020245072,6.52956846,M
0.3411510169,0.3000865426,0.09792297707,0.317392013,0.1383537082,0.08019559902,0.2775066596,13.05913692,F
0.2842925141,0.2242752055,0.06633491995,0.1362673187,0.06180929095,0.03038304808,0.1183484283,6.52956846,F
0.3632626569,0.2811337084,0.08528775422,0.2302852486,0.09936430318,0.05307253464,0.212210975,8.978156633,F
0.2242752055,0.1832107313,0.05685850281,0.08541157294,0.03494702526,0.02242868786,0.07345764518,7.345764518,M
0.2842925141,0.2116399827,0.06633491995,0.1108394458,0.04863895681,0.02373268134,0.09386254662,7.345764518,F
0.3474686283,0.2684984855,0.08528775422,0.2220700896,0.09440912795,0.05111654442,0.2203729355,11.42674481,F
0.1516226742,0.1105581999,0.02842925141,0.01825590872,0.008215158924,0.006128769356,0.01632392115,4.080980288,I
0.1295110342,0.09476417135,0.03474686283,0.01095354523,0.006650366748,0.00391198044,0.00979435269,4.080980288,I
0.1326698399,0.09476417135,0.03158805712,0.01095354523,0.00456397718,0.0032599837,0.01224294086,3.26478423,I
0.2463868455,0.186369537,0.06001730852,0.05294213529,0.0228198859,0.01173594132,0.06121470432,5.713372403,I
0.2969277369,0.2337516227,0.07581133708,0.1511328443,0.07641401793,0.05920130399,0.1142674481,7.345764518,M
0.2906101255,0.2369104284,0.07581133708,0.1200977995,0.04629176854,0.02868785656,0.1224294086,5.713372403,F
0.2053223713,0.1547814799,0.04422327997,0.04198859006,0.01969030155,0.006650366748,0.03672882259,4.897176345,I
0.3316745997,0.2684984855,0.1010817828,0.2178973105,0.09245313773,0.0556805216,0.1999680341,7.345764518,F
0.328515794,0.2590220684,0.07581133708,0.1551752241,0.062200489,0.02894865526,0.1550772509,6.52956846,I
0.2527044569,0.2021635656,0.06001730852,0.07902200489,0.03481662592,0.01564792176,0.08161960575,5.713372403,M
0.306404154,0.2274340113,0.08212894851,0.1412224939,0.06767726161,0.02503667482,0.1305913692,8.161960575,M
0.2969277369,0.2274340113,0.07581133708,0.1245313773,0.05489812551,0.02751426243,0.1224294086,8.161960575,F
0.2558632627,0.1958459541,0.06317611424,0.100407498,0.04511817441,0.02386308068,0.08978156633,5.713372403,M
0.3158805712,0.2527044569,0.08844655993,0.1725183374,0.06689486553,0.04577017115,0.1795631327,6.52956846,F
0.2811337084,0.2211163998,0.07581133708,0.115403423,0.05007334963,0.02490627547,0.1101864678,6.52956846,M
0.2969277369,0.2432280398,0.08528775422,0.1537408313,0.07211083945,0.03129584352,0.1387533298,6.52956846,M
0.1547814799,0.120034617,0.03790566854,0.02242868786,0.01095354523,0.003651181744,0.02040490144,3.26478423,I
0.3190393769,0.2527044569,0.0789701428,0.1520456398,0.06415647922,0.03390383048,0.1428343101,5.713372403,F
0.2842925141,0.2179575941,0.06633491995,0.1073186634,0.04694376528,0.0293398533,0.1101864678,5.713372403,M
0.3190393769,0.2558632627,0.06949372566,0.162999185,0.07954360228,0.04172779136,0.1428343101,7.345764518,M
0.3348334055,0.2590220684,0.08212894851,0.1816462918,0.07876120619,0.05046454768,0.1632392115,8.161960575,F
0.2684984855,0.2053223713,0.06001730852,0.09871230644,0.04446617767,0.02086389568,0.08161960575,5.713372403,M
0.328515794,0.2527044569,0.07581133708,0.1512632437,0.06102689487,0.03429502852,0.1509962706,6.52956846,M
0.3000865426,0.2242752055,0.07581133708,0.1251833741,0.06102689487,0.02647106764,0.1101864678,6.52956846,M
0.3569450454,0.2779749026,0.1010817828,0.2386308068,0.09232273839,0.05046454768,0.2611827384,9.79435269,F
0.3758978797,0.3127217655,0.1168758113,0.3351263244,0.1084922575,0.05841890791,0.3958550879,10.61054875,F
0.3000865426,0.2463868455,0.07581133708,0.1383537082,0.0556805216,0.03012224939,0.1387533298,8.161960575,F
